4.3645251E-05	1.9207149E+02
8.7290503E-05	2.2571281E+02
1.3093575E-04	2.9693707E+02
1.7458101E-04	1.0260736E+02
2.1822626E-04	6.8305725E+01
2.6187151E-04	2.3503738E+01
3.0551676E-04	7.1825935E+01
3.4916201E-04	2.5759330E+01
3.9280726E-04	1.7360991E+00
4.3645251E-04	1.3576232E+01
4.8009777E-04	8.8985470E+00
5.4556564E-04	7.2408370E+00
6.3285615E-04	6.3275110E+00
7.2014665E-04	4.5142840E+00
8.0743715E-04	1.9766532E+00
8.9472765E-04	3.7719450E+00
9.8201816E-04	3.2774394E+00
1.0693087E-03	2.7051040E+00
1.1784218E-03	2.2885580E+00
1.3093575E-03	2.1046188E+00
1.4402933E-03	4.0300170E-01
1.5712291E-03	2.5735930E+00
1.7021648E-03	2.2141223E+00
1.8549232E-03	1.5919151E+00
2.0295042E-03	4.7540474E-01
2.2040852E-03	5.9921020E-01
2.3786662E-03	2.1091905E-01
2.5750698E-03	4.3522295E-01
2.7496508E-03	-5.5409270E-01
