4.3645251E-05	1.3067256E+03
8.7290503E-05	5.4046466E+02
1.3093575E-04	4.8071964E+02
1.7458101E-04	3.1609760E+02
2.1822626E-04	2.3386433E+02
2.6187151E-04	1.6218020E+02
3.0551676E-04	1.6407616E+02
3.4916201E-04	2.0988676E+02
3.9280726E-04	1.4612523E+02
4.3645251E-04	1.0980402E+02
4.8009777E-04	1.7889955E+02
5.4556564E-04	1.3741081E+02
6.3285615E-04	9.7316600E+01
7.2014665E-04	7.7959610E+01
8.0743715E-04	3.8749336E+01
8.9472765E-04	3.2717243E+01
9.8201816E-04	1.2023094E+01
1.0693087E-03	2.1937107E+01
1.1784218E-03	2.9925330E+00
1.3093575E-03	6.9561640E-01
1.4402933E-03	1.8667780E+01
1.5712291E-03	-5.6874883E-01
1.7021648E-03	-1.0519882E+01
1.8549232E-03	-3.0548370E-01
2.0295042E-03	4.2532490E+00
2.2040852E-03	-6.2809477E+00
2.3786662E-03	6.5659000E-01
2.5750698E-03	-5.8311615E+00
2.7496508E-03	1.8474342E+00
